frameIndex;frameTime;mfcc_sma[1];mfcc_sma[2];mfcc_sma[3];mfcc_sma[4];mfcc_sma[5];mfcc_sma[6];mfcc_sma[7];mfcc_sma[8];mfcc_sma[9];mfcc_sma[10];mfcc_sma[11];mfcc_sma[12]
107;1.070000;-1.338305e+01;9.003500e+00;-1.348419e+00;-5.337657e+00;-1.444796e+00;1.095712e+01;1.869831e+01;-2.073164e+00;-4.917163e+00;-1.532705e+01;-6.979461e+00;9.901196e+00
108;1.080000;-1.201355e+01;9.620965e+00;-2.809347e+00;-4.761794e+00;-1.905919e+00;1.087268e+01;1.892592e+01;1.286943e-02;-4.536560e+00;-1.353707e+01;-9.171946e+00;4.496382e+00
109;1.090000;-1.055883e+01;8.126883e+00;-4.619533e+00;-6.186949e+00;-8.508310e-02;1.529903e+00;8.296398e+00;-4.942206e-01;-2.725291e+00;-7.652939e+00;-9.382380e+00;-2.149678e+00
110;1.100000;-8.179359e+00;6.969887e+00;-3.222232e+00;-7.378667e+00;2.990043e-01;-3.599535e+00;2.544200e+00;-1.450886e+00;-1.798015e+00;-4.868540e+00;-1.187349e+01;-1.194772e+01
111;1.110000;-5.314622e+00;4.975028e+00;-1.764780e+00;-8.421079e+00;-2.205758e+00;-6.925065e+00;-2.896532e+00;-4.305632e+00;-4.508027e-02;-4.932940e+00;-1.053879e+01;-1.616290e+01
112;1.120000;-7.374727e+00;6.033945e+00;-2.257387e+00;-7.083679e+00;-5.215565e+00;-6.989589e+00;-3.864825e+00;-1.000428e+01;-5.059514e+00;-1.094251e+01;-1.560924e+01;-1.846981e+01
113;1.130000;-1.112259e+01;6.202608e+00;-3.730816e+00;-4.544074e+00;-8.642445e+00;-6.898726e+00;-5.336508e+00;-1.519245e+01;-8.656377e+00;-1.429072e+01;-1.573484e+01;-1.540967e+01
114;1.140000;-1.643196e+01;5.735457e+00;-5.020474e+00;-5.953272e+00;-1.111951e+01;-1.117807e+01;-7.877036e+00;-1.774602e+01;-8.572913e+00;-1.234110e+01;-1.513875e+01;-1.458597e+01
115;1.150000;-1.740637e+01;3.622382e+00;-5.317273e+00;-7.624664e+00;-1.106133e+01;-7.982973e+00;-6.543472e+00;-1.893382e+01;-5.457959e+00;-9.944345e+00;-1.063913e+01;-1.330905e+01
116;1.160000;-1.546354e+01;4.176441e+00;-4.893566e+00;-7.018955e+00;-8.672796e+00;-5.030896e+00;-6.308555e+00;-1.585353e+01;-1.647971e+00;-7.826490e+00;-9.115999e+00;-1.380700e+01
